coin,avg_price,max_price,min_price,price_range,avg_change_24h,avg_volume_24h,nb_events
binancecoin,626.08,626.08,626.08,0.0,-0.7524,2212080553.0,1
bitcoin,67554.0,67554.0,67554.0,0.0,-1.0844,46243969676.0,1
cardano,0.29,0.29,0.29,0.0,-3.8753,678826843.0,1
ethereum,2030.93,2030.93,2030.93,0.0,-1.942,24475995547.0,1
solana,85.98,85.98,85.98,0.0,-2.9074,4524179742.0,1
binancecoin,626.08,626.08,626.08,0.0,-0.7524,2212080553.0,2
bitcoin,67554.0,67554.0,67554.0,0.0,-1.0844,46243969676.0,2
cardano,0.29,0.29,0.29,0.0,-3.8753,678826843.0,2
ethereum,2030.93,2030.93,2030.93,0.0,-1.942,24475995547.0,2
solana,85.98,85.98,85.98,0.0,-2.9074,4524179742.0,2
binancecoin,626.08,626.08,626.08,0.0,-0.7524,2212080553.0,1
bitcoin,67554.0,67554.0,67554.0,0.0,-1.0844,46243969676.0,1
cardano,0.29,0.29,0.29,0.0,-3.8753,678826843.0,1
ethereum,2030.93,2030.93,2030.93,0.0,-1.942,24475995547.0,1
solana,85.98,85.98,85.98,0.0,-2.9074,4524179742.0,1
binancecoin,625.96,625.96,625.96,0.0,-0.7718,2204433164.0,1
bitcoin,67556.0,67556.0,67556.0,0.0,-1.0815,45923702634.0,1
cardano,0.29,0.29,0.29,0.0,-3.8729,677403630.0,1
ethereum,2030.77,2030.77,2030.77,0.0,-1.95,24239664011.0,1
solana,85.97,85.97,85.97,0.0,-2.9217,4502596700.0,1
binancecoin,625.96,625.96,625.96,0.0,-0.7718,2204433164.0,1
bitcoin,67556.0,67556.0,67556.0,0.0,-1.0815,45923702634.0,1
cardano,0.29,0.29,0.29,0.0,-3.8729,677403630.0,1
ethereum,2030.77,2030.77,2030.77,0.0,-1.95,24239664011.0,1
solana,85.97,85.97,85.97,0.0,-2.9217,4502596700.0,1
binancecoin,625.96,625.96,625.96,0.0,-0.7718,2204433164.0,1
bitcoin,67556.0,67556.0,67556.0,0.0,-1.0815,45923702634.0,1
cardano,0.29,0.29,0.29,0.0,-3.8729,677403630.0,1
ethereum,2030.77,2030.77,2030.77,0.0,-1.95,24239664011.0,1
solana,85.97,85.97,85.97,0.0,-2.9217,4502596700.0,1
binancecoin,626.03,626.03,626.03,0.0,-0.7613,2179692551.0,1
bitcoin,67563.0,67563.0,67563.0,0.0,-1.0718,45895806324.0,1
cardano,0.29,0.29,0.29,0.0,-3.8629,676301518.0,1
ethereum,2031.06,2031.06,2031.06,0.0,-1.9358,24100116465.0,1
solana,85.97,85.97,85.97,0.0,-2.9152,4502525268.0,1
binancecoin,626.31,626.31,626.31,0.0,-0.4689,2203583737.0,1
bitcoin,67587.0,67587.0,67587.0,0.0,-0.8107,46219174813.0,1
cardano,0.29,0.29,0.29,0.0,-3.852,675165392.0,1
ethereum,2031.42,2031.42,2031.42,0.0,-1.5637,24130068684.0,1
solana,85.99,85.99,85.99,0.0,-2.5346,4503188281.0,1
binancecoin,626.31,626.31,626.31,0.0,-0.4689,2203583737.0,1
bitcoin,67587.0,67587.0,67587.0,0.0,-0.8107,46219174813.0,1
cardano,0.29,0.29,0.29,0.0,-3.852,675165392.0,1
ethereum,2031.42,2031.42,2031.42,0.0,-1.5637,24130068684.0,1
solana,85.99,85.99,85.99,0.0,-2.5346,4503188281.0,1
binancecoin,626.31,626.31,626.31,0.0,-0.4689,2203583737.0,1
bitcoin,67587.0,67587.0,67587.0,0.0,-0.8107,46219174813.0,1
cardano,0.29,0.29,0.29,0.0,-3.852,675165392.0,1
ethereum,2031.42,2031.42,2031.42,0.0,-1.5637,24130068684.0,1
solana,85.99,85.99,85.99,0.0,-2.5346,4503188281.0,1
binancecoin,626.32,626.32,626.32,0.0,-0.4503,2210752932.0,1
bitcoin,67594.0,67594.0,67594.0,0.0,-0.8343,46479085260.0,1
cardano,0.29,0.29,0.29,0.0,-3.8055,673716027.0,1
ethereum,2031.09,2031.09,2031.09,0.0,-1.6479,24410943775.0,1
solana,86.0,86.0,86.0,0.0,-2.369,4496932112.0,1
binancecoin,626.32,626.32,626.32,0.0,-0.4503,2210752932.0,1
bitcoin,67594.0,67594.0,67594.0,0.0,-0.8343,46479085260.0,1
cardano,0.29,0.29,0.29,0.0,-3.8055,673716027.0,1
ethereum,2031.09,2031.09,2031.09,0.0,-1.6479,24410943775.0,1
solana,86.0,86.0,86.0,0.0,-2.369,4496932112.0,1
binancecoin,626.55,626.55,626.55,0.0,-0.4135,2204812152.0,1
bitcoin,67597.0,67597.0,67597.0,0.0,-0.8296,46431341889.0,1
cardano,0.29,0.29,0.29,0.0,-3.8114,673693289.0,1
ethereum,2029.43,2029.43,2029.43,0.0,-1.7286,24429485616.0,1
solana,85.96,85.96,85.96,0.0,-2.4214,4491626272.0,1
binancecoin,626.55,626.55,626.55,0.0,-0.4135,2204812152.0,1
bitcoin,67597.0,67597.0,67597.0,0.0,-0.8296,46431341889.0,1
cardano,0.29,0.29,0.29,0.0,-3.8114,673693289.0,1
ethereum,2029.43,2029.43,2029.43,0.0,-1.7286,24429485616.0,1
solana,85.96,85.96,85.96,0.0,-2.4214,4491626272.0,1
binancecoin,626.55,626.55,626.55,0.0,-0.4135,2204812152.0,1
bitcoin,67597.0,67597.0,67597.0,0.0,-0.8296,46431341889.0,1
cardano,0.29,0.29,0.29,0.0,-3.8114,673693289.0,1
ethereum,2029.43,2029.43,2029.43,0.0,-1.7286,24429485616.0,1
solana,85.96,85.96,85.96,0.0,-2.4214,4491626272.0,1
binancecoin,626.64,626.64,626.64,0.0,-0.3998,2205077537.0,1
bitcoin,67618.0,67618.0,67618.0,0.0,-0.7985,46415355212.0,1
cardano,0.29,0.29,0.29,0.0,-3.8058,660647009.0,1
ethereum,2029.36,2029.36,2029.36,0.0,-1.7319,24333711754.0,1
solana,85.99,85.99,85.99,0.0,-2.3847,4489884173.0,1
binancecoin,626.64,626.64,626.64,0.0,-0.3998,2205077537.0,1
bitcoin,67618.0,67618.0,67618.0,0.0,-0.7985,46415355212.0,1
cardano,0.29,0.29,0.29,0.0,-3.8058,660647009.0,1
ethereum,2029.36,2029.36,2029.36,0.0,-1.7319,24333711754.0,1
solana,85.99,85.99,85.99,0.0,-2.3847,4489884173.0,1
binancecoin,626.64,626.64,626.64,0.0,-0.3998,2205077537.0,1
bitcoin,67618.0,67618.0,67618.0,0.0,-0.7985,46415355212.0,1
cardano,0.29,0.29,0.29,0.0,-3.8058,660647009.0,1
ethereum,2029.36,2029.36,2029.36,0.0,-1.7319,24333711754.0,1
solana,85.99,85.99,85.99,0.0,-2.3847,4489884173.0,1
binancecoin,626.4,626.4,626.4,0.0,-0.4383,2204282581.0,1
bitcoin,67592.0,67592.0,67592.0,0.0,-0.1505,46461957025.0,1
cardano,0.29,0.29,0.29,0.0,-3.6342,660522656.0,1
ethereum,2029.09,2029.09,2029.09,0.0,-0.6335,24243625407.0,1
solana,86.0,86.0,86.0,0.0,-1.818,4486199552.0,1
binancecoin,626.4,626.4,626.4,0.0,-0.4383,2204282581.0,1
bitcoin,67592.0,67592.0,67592.0,0.0,-0.1505,46461957025.0,1
cardano,0.29,0.29,0.29,0.0,-3.6342,660522656.0,1
ethereum,2029.09,2029.09,2029.09,0.0,-0.6335,24243625407.0,1
solana,86.0,86.0,86.0,0.0,-1.818,4486199552.0,1
binancecoin,626.4,626.4,626.4,0.0,-0.4383,2204282581.0,1
bitcoin,67592.0,67592.0,67592.0,0.0,-0.1505,46461957025.0,1
cardano,0.29,0.29,0.29,0.0,-3.6342,660522656.0,1
ethereum,2029.09,2029.09,2029.09,0.0,-0.6335,24243625407.0,1
solana,86.0,86.0,86.0,0.0,-1.818,4486199552.0,1
binancecoin,626.47,626.47,626.47,0.0,-0.427,2206973788.0,1
bitcoin,67575.0,67575.0,67575.0,0.0,-0.1751,46439879001.0,1
cardano,0.29,0.29,0.29,0.0,-3.6789,670519355.0,1
ethereum,2028.98,2028.98,2028.98,0.0,-0.6388,24300491153.0,1
solana,85.97,85.97,85.97,0.0,-1.8567,4480672813.0,1
binancecoin,626.47,626.47,626.47,0.0,-0.427,2206973788.0,1
bitcoin,67575.0,67575.0,67575.0,0.0,-0.1751,46439879001.0,1
cardano,0.29,0.29,0.29,0.0,-3.6789,670519355.0,1
ethereum,2028.98,2028.98,2028.98,0.0,-0.6388,24300491153.0,1
solana,85.97,85.97,85.97,0.0,-1.8567,4480672813.0,1
binancecoin,626.47,626.47,626.47,0.0,-0.427,2206973788.0,1
bitcoin,67575.0,67575.0,67575.0,0.0,-0.1751,46439879001.0,1
cardano,0.29,0.29,0.29,0.0,-3.6789,670519355.0,1
ethereum,2028.98,2028.98,2028.98,0.0,-0.6388,24300491153.0,1
solana,85.97,85.97,85.97,0.0,-1.8567,4480672813.0,1
binancecoin,626.47,626.47,626.47,0.0,-0.427,2206973788.0,1
bitcoin,67575.0,67575.0,67575.0,0.0,-0.1751,46439879001.0,1
cardano,0.29,0.29,0.29,0.0,-3.6789,670519355.0,1
ethereum,2028.98,2028.98,2028.98,0.0,-0.6388,24300491153.0,1
solana,85.97,85.97,85.97,0.0,-1.8567,4480672813.0,1
